domain,tld,cohort,cert_year,whois_year
google.com,com,top,2006.0,1997.0
microsoft.com,com,top,2002.0,1991.0
e2ro.com,com,top,2015.0,2015.0
windowsupdate.com,com,top,2022.0,1997.0
office.com,com,top,2010.0,1999.0
live.com,com,top,2006.0,1994.0
microsoftonline.com,com,top,2008.0,2002.0
apple.com,com,top,2003.0,1987.0
amazonaws.com,com,top,2007.0,2005.0
digicert.com,com,top,2004.0,1996.0
skype.com,com,top,2005.0,2003.0
netflix.com,com,top,2007.0,1997.0
amazon.com,com,top,2007.0,1994.0
facebook.com,com,top,2006.0,1997.0
windows.com,com,top,2006.0,1995.0
bing.com,com,top,2009.0,1996.0
icloud.com,com,top,2009.0,1999.0
aaplimg.com,com,top,2014.0,2013.0
googleusercontent.com,com,top,2008.0,2008.0
youtube.com,com,top,2009.0,2005.0
msn.com,com,top,2005.0,1994.0
wyzecam.com,com,top,2017.0,2017.0
cloudflare.com,com,top,2010.0,2009.0
office365.com,com,top,2011.0,2005.0
azure.com,com,top,2009.0,1994.0
yahoo.com,com,top,2000.0,1995.0
sharepoint.com,com,top,2011.0,1998.0
googletagmanager.com,com,top,2011.0,2011.0
opendns.com,com,top,2008.0,2003.0
ytimg.com,com,top,,2007.0
gvt2.com,com,top,2014.0,2008.0
googlesyndication.com,com,top,,2003.0
googlevideo.com,com,top,2013.0,2003.0
instagram.com,com,top,2011.0,2004.0
gvt1.com,com,top,2014.0,2008.0
msftconnecttest.com,com,top,,2014.0
app-measurement.com,com,top,2015.0,2015.0
outlook.com,com,top,2008.0,1994.0
a2z.com,com,top,2016.0,1994.0
ggpht.com,com,top,,2008.0
adobe.com,com,top,,1986.0
umbrella.com,com,top,2012.0,1994.0
adnxs.com,com,top,2008.0,2008.0
scorecardresearch.com,com,top,2009.0,2007.0
meraki.com,com,top,,2003.0
msftncsi.com,com,top,,2005.0
spotify.com,com,top,2008.0,2006.0
snapchat.com,com,top,,2012.0
linkedin.com,com,top,2007.0,2002.0
cisco.com,com,top,,1987.0
rubiconproject.com,com,top,2007.0,2007.0
pubmatic.com,com,top,,2006.0
criteo.com,com,top,2006.0,2005.0
crashlytics.com,com,top,,2011.0
launchdarkly.com,com,top,,2014.0
mzstatic.com,com,top,,2010.0
tiktokv.com,com,top,,2017.0
casalemedia.com,com,top,2006.0,2002.0
taboola.com,com,top,2009.0,2007.0
media-amazon.com,com,top,2016.0,2016.0
googletagservices.com,com,top,,2008.0
msidentity.com,com,top,2017.0,2016.0
twitter.com,com,top,2007.0,2000.0
doubleverify.com,com,top,2011.0,2007.0
pinterest.com,com,top,2010.0,2009.0
3lift.com,com,top,2013.0,2013.0
gmail.com,com,top,,1995.0
cloudflareinsights.com,com,top,2019.0,2019.0
icloud-content.com,com,top,2014.0,2014.0
amazonalexa.com,com,top,2016.0,2013.0
samsung.com,com,top,2005.0,1994.0
id5-sync.com,com,top,2017.0,2017.0
reddit.com,com,top,2008.0,2005.0
android.com,com,top,,1997.0
tenable.com,com,top,2010.0,1997.0
tiktok.com,com,top,2012.0,1996.0
exp-tas.com,com,top,2019.0,2019.0
tapad.com,com,top,2011.0,2002.0
adobedtm.com,com,top,2012.0,2013.0
verisign.com,com,top,2005.0,1995.0
sharethrough.com,com,top,2009.0,2008.0
inmobi.com,com,top,2009.0,2007.0
appsflyer.com,com,top,2012.0,2011.0
